Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Banda ancha fija,Dial up,Total,Accesos por cada 100 hogares
2021,1,Río Negro,125,466,70011,4187,13045,3642,29589,20103,140667,501,141168,60.88
2021,1,Salta,109,20,40785,68149,9164,8139,54889,6319,187572,2,187574,53.93
2021,1,San Juan,25,194,60439,858,11494,340,276,4641,78011,256,78267,39.06
2021,1,San Luis,58,0,11889,2926,4429,62913,22,36917,119006,148,119154,81.24
2021,1,Santa Cruz,50,0,30655,8334,6987,1337,647,-1945,45868,197,46065,41.65
2021,1,Santa Fe,518,891,201632,204458,91846,65476,236924,24382,825990,137,826127,73.92
2021,1,Santiago Del Estero,123,909,33884,58464,8549,700,4868,4144,111640,1,111641,45.67
2021,1,Tierra Del Fuego,17,0,21379,1468,4317,486,919,11836,40133,289,40422,77.35
2021,1,Tucumán,29,97,42810,53416,25255,4188,103437,2680,231890,22,231912,54.82
2020,4,Buenos Aires,36939,31197,1109865,242243,214171,213588,2176242,9016,4028195,5066,4033261,68.98
2020,4,Capital Federal,135,244,160210,78123,60208,80269,1000073,268,1378140,1390,1379530,108.31
2020,4,Catamarca,71,0,8843,8740,11436,591,20406,2309,52395,1,52396,49.41
2020,4,Chaco,301,112,24782,22479,26802,15701,40949,7965,139088,3,139091,43.03
2020,4,Chubut,106,109,88157,21824,12046,2818,1112,4402,129749,825,130574,68.35
2020,4,Córdoba,119,2386,214963,135262,82221,70013,384169,13568,902646,55,902701,78.08
2020,4,Corrientes,67,527,31900,26321,25687,9383,26789,4985,125656,3,125659,42.43
2020,4,Entre Ríos,105,2911,65659,53556,40755,16600,53141,14654,247368,13,247381,59.47
2020,4,Formosa,56,0,23540,7606,7181,1197,8946,1680,50206,0,50206,32.49
2020,4,Jujuy,49,182,23772,14379,44930,446,19282,2811,105851,0,105851,53.46
2020,4,La Pampa,298,554,70184,8124,6562,2396,6257,2520,96779,116,96895,81.77
2020,4,La Rioja,18,1,36906,6060,4633,181,4979,0,52775,3,52778,50.11
2020,4,Mendoza,28,40,146312,11172,40396,3378,11557,2570,214838,615,215453,38.63
2020,4,Misiones,51,524,39988,26078,26445,14810,32264,7001,147161,0,147161,42.64
2020,4,Neuquén,116,327,56434,8478,5791,5493,50776,5720,132762,373,133135,67.0
2020,4,Río Negro,125,466,70305,4153,13131,3512,29372,20146,140709,501,141210,61.09
2020,4,Salta,109,514,41443,68829,15188,8291,46697,6319,187388,2,187390,54.04
2020,4,San Juan,25,194,61316,740,5126,332,275,4588,72340,256,72596,36.32
2020,4,San Luis,58,0,14020,3490,2688,62239,22,36918,119287,148,119435,81.68
2020,4,Santa Cruz,47,0,27173,4382,6634,1033,647,758,40477,197,40674,37.0
2020,4,Santa Fe,518,891,206372,203793,94246,65145,226246,23602,820676,137,820813,73.58
2020,4,Santiago Del Estero,123,909,34518,57590,4666,411,4520,3932,106668,1,106669,43.75
2020,4,Tierra Del Fuego,17,0,21881,6119,3497,488,922,6690,39325,289,39614,76.27
2020,4,Tucumán,29,97,44095,54334,32155,4105,93594,2680,231067,22,231089,54.78
2020,3,Buenos Aires,37542,31514,1113823,234710,219772,194248,2085815,19853,3932211,5066,3937277,67.66
2020,3,Capital Federal,264,312,162222,85083,68753,78028,977766,247,1371285,1390,1372675,107.68
2020,3,Catamarca,63,0,8276,8768,11195,562,18886,2154,49903,1,49904,47.16
2020,3,Chaco,308,112,24675,21639,27546,13751,38729,7194,133951,3,133954,41.54
2020,3,Chubut,158,109,87559,22114,12217,2818,1110,3942,129202,825,130027,68.34
2020,3,Córdoba,168,3064,218599,124833,84236,63823,361021,11728,867417,55,867472,75.22
2020,3,Corrientes,72,527,35190,23315,25308,8615,25344,5020,123388,3,123391,41.75
2020,3,Entre Ríos,130,2911,66648,51478,40797,14377,49395,15759,241482,13,241495,58.19
2020,3,Formosa,391,151,23163,7432,7125,991,8219,1737,49209,0,49209,31.91
2020,3,Jujuy,55,182,32131,10566,45198,293,15238,3065,106728,0,106728,54.04
2020,3,La Pampa,293,810,66695,7820,5577,2189,6322,4029,93619,116,93735,79.26
2020,3,La Rioja,21,1,37105,5955,4660,124,4748,2,52613,3,52616,50.12
2020,3,Mendoza,58,40,141404,12123,42433,3448,8237,45,207173,615,207788,37.35
2020,3,Misiones,71,524,39005,24215,25942,13663,30987,8779,143186,0,143186,41.6
2020,3,Neuquén,218,327,60463,6561,5975,5449,49439,803,128862,373,129235,65.24
2020,3,Río Negro,114,466,68986,3769,7096,3455,28488,19093,130966,501,131467,57.05
2020,3,Salta,129,514,32780,64736,15990,7928,43773,14996,180844,2,180846,52.32
2020,3,San Juan,48,194,65526,711,6529,41,128,4150,77071,256,77327,38.79
2020,3,San Luis,105,0,12199,3351,2666,61319,8,36917,116417,148,116565,79.96
2020,3,Santa Cruz,66,0,26888,4015,6730,629,120,833,39084,197,39281,35.95
2020,3,Santa Fe,568,1241,213353,199381,92095,58797,210562,27001,802861,137,802998,72.12
2020,3,Santiago Del Estero,133,909,33287,57418,4658,292,3994,4801,105491,1,105492,43.38
2020,3,Tierra Del Fuego,11,0,22094,5414,3726,481,937,6992,39366,289,39655,76.81
2020,3,Tucumán,52,97,45913,54610,33126,3246,84195,2637,223854,22,223876,53.23
2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,21233,3772480,5066,3777546,65.22
2020,2,Capital Federal,264,312,166474,94585,79858,80160,935481,687,1356431,1390,1357821,106.41
2020,2,Catamarca,63,0,8801,8690,10242,426,16578,3176,47975,1,47976,45.43
2020,2,Chaco,308,928,24350,21140,29044,12082,33311,6969,128129,3,128132,39.83
2020,2,Chubut,158,109,69578,22188,10537,1473,614,3999,107831,825,108656,57.34
2020,2,Córdoba,168,4383,219025,125932,89530,63216,325243,8971,836413,55,836468,72.71
